Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-28.85,1,27
25.43,1,27
-65.85,1,27
-66.82,1,27
-67.43,1,27
-67.73,1,27
-67.8,1,27
-67.69,1,27
-67.43,1,27
-67.07,1,27
-66.62,1,26
-66.27,1,27
-65.64,1,27
-64.94,1,27
-64.17,1,27
-63.3,1,27
-62.32,1,27
-61.18,1,27
-59.82,1,27
-58.14,1,27
-55.95,1,27
-52.87,1,27
-48.07,1,27
-39.1,1,27
-16.01,1,27.01
-65.43,0,24.5
-67.76,0,20.56
-71.75,0,14.91
-77.19,0,2
-84.53,0,2
-87.15,0,2
-87.62,0,2
-87.59,0,2
-87.45,0,2
-87.29,0,2
-87.12,0,2
-86.96,0,2
-86.79,0,2
-86.63,0,2
-86.46,0,2
-86.3,0,2
-86.14,0,2
-85.98,0,2
-85.82,0,2
-85.67,0,2
-85.51,0,2
-85.55,0,2
-85.25,0,2
-85.06,0,1
-85.02,0,2
-84.78,0,2
-84.6,0,2
-84.44,0,2
-84.29,0,2
-84.23,0,2
-84.02,0,2
-83.86,0,2
-83.71,0,2
-83.56,0,2
-83.42,0,2
-83.28,0,2
-83.14,0,2
-83,0,2
-82.86,0,2
-82.72,0,2
-82.58,0,2
-82.54,0,2
-82.43,0,2
-82.21,0,2
-82.05,0,2
-81.91,0,2
-81.78,0,2
-81.65,0,2
-81.51,0,2
-81.39,0,2
-81.26,0,2
-81.13,0,2
-81,0,2
-80.88,0,1
-80.89,0,2
-80.68,0,2
-80.52,0,2
-80.39,0,2
-80.26,0,2
-80.14,0,2
-80.02,0,2
-79.9,0,2
-79.78,0,2
-79.66,0,2
-79.55,0,2
-79.43,0,2
-79.32,0,2
-79.2,0,2
-79.09,0,2
-78.98,0,2
-78.86,0,2
-78.75,0,2
-78.64,0,2
-78.53,0,2
-78.42,0,2
-78.31,0,2
-78.21,0,2
-78.1,0,2
-77.99,0,2
-77.89,0,2
-77.79,0,2
-77.68,0,2
-77.58,0,2
-77.48,0,2
-77.38,0,2
-77.27,0,1
-77.33,0,2
-77.34,0,2
-77.1,0,2
-76.93,0,2
-76.81,0,2
-76.7,0,2
-76.59,0,2
-76.5,1,52.89
-47.83,1,162.59
-65,1,118.86
29.63,1,71.52
-47.58,1,34.27
-28.4,1,27.88
-65,1,27.11
-65.04,1,27.01
-64.96,1,27
-64.74,1,27
-64.38,1,27
-63.89,1,27
-63.46,1,27
-62.71,1,27
-61.8,1,27
-60.71,1,27.01
-59.38,1,27
-57.9,1,27
-55.73,1,26.98
-52.66,1,27
-48.09,1,27
-39.24,1,27
-16.56,1,27
-65.46,1,27
-66.58,1,27
-67.32,1,27
-67.74,1,27
-67.89,1,27
-68.04,1,27
-67.79,1,27
-67.43,1,27
-66.98,1,27
-66.47,1,27
-65.88,1,27
-65.23,1,27.02
-64.5,1,27
-63.68,1,27
-62.77,1,27
-61.71,1,27.01
-60.47,1,27
-58.96,1,27
-57.04,1,27
-54.44,1,26.99
-50.61,1,27
-44.11,1,27
-30.08,1,27
19.33,1,27
-65.84,1,27
-66.8,1,27
-67.57,1,27
-67.83,1,27
-67.87,1,27
-67.72,1,27
-67.45,1,27
-67.07,1,27
-66.6,1,27
-66.06,1,27
-65.45,1,27
-64.77,1,27
-64,1,27
-63.13,1,27
-62.14,1,27
-60.99,1,27
-59.6,1,27
-57.87,1,27
-55.6,1,27
-52.37,1,27
-47.22,1,27
-37.32,1,27
-10.18,1,27
-65.44,1,27
-66.51,1,27
-67.23,1,26
-67.8,1,27
-67.9,1,27
-67.8,1,27
-67.56,1,27
-67.21,1,27
-66.77,1,27
-66.25,1,27
-65.66,1,27
-65,1,27
-64.26,1,27
-63.42,1,27
-62.47,1,27
-61.38,1,27
-60.07,1,27
-58.46,1,27
-56.39,1,27
-53.53,1,27
-49.36,1,27
-41.72,1,27
-23.79,1,26.02
-65,1,27
-66.19,0,24.5
-68.27,0,20.56
-72.02,0,14.92
-77.24,0,2
-84.47,0,2
-87.06,0,2
-87.53,0,2
-87.57,0,2
-87.38,0,2
-87.2,0,2
-87.04,0,2
-86.87,0,2
-86.7,0,2
-86.54,0,2
